FID,access,bridge,from_,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,out_pgh,river_bge
11849, , ,104861746,residential, ,0, ,91.846, ,Claus Avenue,False,11713930, , ,104861736, , ,0,0
11850, , ,105773000,secondary, ,0,2,98.565, ,Brownsville Road,False,11853330, , ,104861736, , ,0,0
11851, , ,105702021,secondary, ,0,2,29.105, ,Brownsville Road,False,11853330, , ,104861736, , ,0,0
11852, , ,104861758,residential, ,0, ,106.272, ,Claus Avenue,False,11713930, , ,104861746, , ,0,0
11853, , ,105163248,service, ,0, ,45.387, ,Windfall Way,False,11752716, , ,104861746, , ,0,0
11854, , ,104861764,residential, ,0, ,164.097, ,Claus Avenue,False,11713930, , ,104861758, , ,0,0
11855, , ,105163262,residential, ,0, ,44.02, ,Melody Street,False,11812124, , ,104861758, , ,0,0
11856, , ,105174307,residential, ,0, ,52.278, ,Bethesda Street,False,11746179, , ,104861764, , ,0,0
11857, , ,105749017,residential, ,0, ,132.236, ,"['Parkdale Street', 'Claus Avenue']",False,"[11713930, 11812885]", , ,104861764, , ,0,0
11858, , ,104861882,tertiary, ,0, ,191.23099999999997, ,Roberto Clemente Drive,False,11713940, , ,104861797, , ,0,0
11859, , ,107658824,tertiary, ,0, ,123.70400000000001, ,South Bouquet Street,False,"[353963813, 331173871]", , ,104861797, , ,0,0
11860, , ,105013345,secondary, ,0, ,177.52299999999997, ,Schenley Drive,False,11734068, , ,104861882, , ,0,0
11861, , ,104862088,residential, ,0, ,22.118, ,Minden Street,False,11713952, , ,104862075, , ,0,0
11862, , ,105009338,primary, ,0,3,77.456,25 mph,Irvine Street,False,11728751,PA 885, ,104862075, , ,0,0
11863, , ,104944200,primary, ,0,3,136.123,25 mph,"['Second Avenue', 'Irvine Street']",False,"[28543725, 11728751]",PA 885, ,104862075, , ,0,0
11864, , ,104862105,residential, ,0, ,44.716, ,Minden Street,False,11713952, , ,104862088, , ,0,0
11865, , ,105253326,residential, ,0, ,76.83, ,Chatsworth Avenue,False,334629042, , ,104862105, , ,0,0
11866, , ,104991259,residential, ,0, ,79.035, ,Columbo Street,False,11747077, , ,104862281, , ,0,0
11867, , ,105998046,residential, ,0, ,102.774, ,North Atlantic Avenue,False,11962111, , ,104862281, , ,0,0
11868, , ,105181287,residential, ,0, ,29.269, ,North Atlantic Avenue,False,11962111, , ,104862281, , ,0,0
11869, , ,104862303,residential, ,0, ,140.119, ,Engleside Avenue,False,11713969, , ,104862281, , ,0,0
11870, , ,105110255,residential, ,0, ,79.046, ,Gearing Avenue,False,11739285, , ,104862318, , ,0,0
11871, , ,105110246,residential, ,0, ,29.430999999999997, ,Gearing Avenue,False,11739285, , ,104862318, , ,0,0
11872, , ,104862344,residential, ,0, ,164.008, ,Cedar Hurst Street,False,319670834, , ,104862334, , ,0,0
11873, , ,1025849378,residential, ,0, ,96.088, ,Cedar Hurst Street,False,319670834, , ,104862334, , ,0,0
11874, , ,105133226,living_street, ,0, ,101.529, ,Haberman Avenue,False,88317665, , ,104862334, , ,0,0
11875, , ,105789743,residential, ,0, ,50.201, ,Estella Avenue,False,318681941, , ,104862344, , ,0,0
11876, , ,104862356,residential, ,0, ,93.11, ,Cedar Hurst Street,False,319670834, , ,104862344, , ,0,0
11877, , ,105919513,service, ,0, ,50.7, ,Cardiff Way,False,11826038, , ,104862356, , ,0,0
11878, , ,104862362,residential, ,0, ,43.17, ,Cedar Hurst Street,False,319670834, , ,104862356, , ,0,0
11879, , ,105803808,residential, ,0, ,84.523, ,Curtin Avenue,False,11818698, , ,104862362, , ,0,0
11880, , ,104862372,residential, ,0, ,39.982, ,Cedar Hurst Street,False,319670834, , ,104862362, , ,0,0
11881, , ,104862378,residential, ,0, ,48.606, ,Cedar Hurst Street,False,319670834, , ,104862372, , ,0,0
11882, , ,107652348,service, ,0, ,51.804, ,Ardale Way,False,11957181, , ,104862378, , ,0,0
11883, , ,104863149,residential, ,0, ,151.499, ,McClintock Avenue,False,11714048, , ,104863139, , ,0,0
11884, , ,105037070,tertiary, ,0, ,25.012999999999998, ,Perrysville Avenue,False,11810494, , ,104863139, , ,0,0
11885, , ,105070609,tertiary, ,0, ,24.961000000000002, ,Perrysville Avenue,False,11810494, , ,104863139, , ,0,0
11886, , ,104865598,residential, ,0, ,167.585, ,Sunset Drive,False,11714236, , ,104865591, , ,1,0
11887, , ,105189305,residential, ,0, ,84.099, ,Wayne Road,False,11952832, , ,104865591, , ,1,0
11888, , ,105740018,residential, ,0, ,106.559, ,Wayne Road,False,11952832, , ,104865591, , ,1,0
11889, , ,104865606,residential, ,0, ,66.338, ,Sunset Drive,False,11714236, , ,104865598, , ,1,0
