Source,Target,Type,Id,Label,distance
67,72,Undirected,8269,Boulevard of the Allies,98.019
67,74,Undirected,8270,,38.264
68,83,Undirected,8286,P J McArdle Roadway,370.115
68,2,Undirected,8287,"['McArdle Roadway', 'P J McArdle Roadway']",100.086
2,68,Undirected,8293,"['McArdle Roadway', 'P J McArdle Roadway']",87.478
2,2,Undirected,8455,East Sycamore Street,766.14
1,64,Undirected,8612,,393.992
1,1,Undirected,8613,,229.983
4,138,Undirected,8645,,138.84
69,4,Undirected,8654,Highland Park Bridge,100.152
69,4,Undirected,8655,,248.045
4,5,Undirected,8677,"['Freeport Road', 'Main Street']",237.126
4,138,Undirected,8678,,256.224
2,3,Undirected,8921,"['Arch Street', 'Chestnut Street']",147.403
70,71,Undirected,8975,,557.612
70,1,Undirected,8976,,282.556
2,2,Undirected,9005,Saw Mill Run Boulevard,215.421
71,143,Undirected,9068,Boulevard of the Allies,1630.875
72,73,Undirected,9079,Boulevard of the Allies,50.866
73,65,Undirected,9088,,229.554
73,67,Undirected,9089,Boulevard of the Allies,46.202
3,2,Undirected,9091,West Main Street,85.104
74,71,Undirected,9093,,103.206
2,126,Undirected,9109,Smithfield Street,494.5
4,76,Undirected,9128,Allegheny Valley Expressway,491.908
4,4,Undirected,9148,Allegheny Valley Expressway,1421.606
1,1,Undirected,9350,Forbes Avenue,1064.538
4,57,Undirected,9366,Allegheny Valley Expressway,444.186
75,4,Undirected,9382,Allegheny Valley Expressway,285.592
75,4,Undirected,9383,,221.609
76,4,Undirected,9388,,740.809
77,75,Undirected,9412,Allegheny Valley Expressway,225.951
78,81,Undirected,9444,Ohio River Boulevard,381.091
79,0,Undirected,9492,,305.647
79,78,Undirected,9493,,512.584
80,0,Undirected,9508,Ohio River Boulevard,140.732
0,86,Undirected,9549,,795.049
0,80,Undirected,9563,,313.177
81,84,Undirected,9568,,705.824
81,86,Undirected,9569,,429.859
0,0,Undirected,9602,Restricted Lane,836.873
82,89,Undirected,9654,,105.614
82,0,Undirected,9655,,669.316
82,88,Undirected,9656,,538.401
84,155,Undirected,9690,North Shore Expressway,248.019
85,2,Undirected,9705,Mifflin Road,127.942
86,82,Undirected,9706,,73.751
87,88,Undirected,9707,,800.121
87,89,Undirected,9708,North Shore Expressway,599.602
88,80,Undirected,9721,Ohio River Boulevard,413.002
89,18,Undirected,9730,Fort Duquesne Bridge,208.242
90,84,Undirected,9734,North Shore Expressway,512.708
90,82,Undirected,9735,,105.414
1,97,Undirected,9746,"['Browns Hill Road', 'Homestead Grays Bridge']",1013.979
0,91,Undirected,9775,River Avenue,1509.878
91,102,Undirected,9820,"['30th Street Bridge', '30th Street']",141.527
91,93,Undirected,9821,River Avenue,48.954
92,90,Undirected,9826,Fort Duquesne Bridge,208.693
93,105,Undirected,9836,31st Street Bridge,23.437
93,1,Undirected,9837,"['31st Street Bridge', '31st Street']",877.305
2,2,Undirected,9956,Mifflin Road,736.939
0,1,Undirected,9998,"['Sandusky Street', 'Andy Warhol Bridge', '7th Street']",373.905
3,2,Undirected,10063,"['Township Road', 'Napor Boulevard']",121.259
1,1,Undirected,10076,Baum Boulevard,212.268
4,77,Undirected,10120,,872.833
3,3,Undirected,10132,Clever Road,378.358
2,2,Undirected,10206,"['Station Street', 'Bradford Avenue']",173.186
2,2,Undirected,10271,P J McArdle Roadway,1321.566
20,95,Undirected,10293,Penn-Lincoln Parkway East,1115.388
1,2,Undirected,10367,"['Hot Metal Bridge', 'Hot Metal Street']",508.174
96,2,Undirected,10375,,48.641
2,2,Undirected,10441,Weyman Road,665.259
97,2,Undirected,11162,East 5th Avenue,578.524
97,2,Undirected,11163,Homestead Grays Bridge,226.813
1,131,Undirected,11441,Lancaster Avenue,338.547
1,98,Undirected,11582,MacFarren Street,191.696
1,1,Undirected,11925,,184.395
0,28,Undirected,12139,US 19,319.173
1,1,Undirected,12278,South Aiken Avenue,182.669
2,2,Undirected,12378,Wanley Road,834.39
0,0,Undirected,12464,Ivory Avenue,187.921
1,1,Undirected,12468,West Elizabeth Street,176.507
0,0,Undirected,12490,Tripoli Street,88.292
0,0,Undirected,12511,McKnight Road,311.173
8,22,Undirected,12522,Crescent Street,214.251
1,1,Undirected,12535,Murray Avenue,164.829
2,100,Undirected,12631,Ensign Avenue,41.705
0,0,Undirected,12649,McKnight Road,50.153
