X,Y,id,modularity,hood_no,hood
591677.5289,4475671.686,105702270,34,77,Squirrel Hill South
590973.0632,4476151.469,105178822,34,77,Squirrel Hill South
591247.5933,4476213.979,105178829,34,77,Squirrel Hill South
591338.1272,4476303.209,105178838,34,77,Squirrel Hill South
592019.4275,4476341.376,105178845,34,77,Squirrel Hill South
592153.1965,4476340.444,105178852,34,77,Squirrel Hill South
592221.0995,4476340.98,105178861,34,77,Squirrel Hill South
591600.9144,4475408.846,104919981,34,77,Squirrel Hill South
592102.026,4475704.656,104985606,34,77,Squirrel Hill South
592043.0127,4475457.182,104985649,34,77,Squirrel Hill South
591721.6909,4475365.793,104985671,34,77,Squirrel Hill South
591710.1685,4475299.275,104985690,34,77,Squirrel Hill South
591702.7018,4475254.221,104985697,34,77,Squirrel Hill South
592247.8414,4475664.074,988411624,34,77,Squirrel Hill South
592300.0563,4475429.58,988411642,34,77,Squirrel Hill South
592319.4331,4475271.284,988411644,34,77,Squirrel Hill South
592436.8617,4475400.481,988411646,34,77,Squirrel Hill South
592288.724,4475248.125,988411648,34,77,Squirrel Hill South
592242.6735,4475106.465,988411652,34,77,Squirrel Hill South
591581.3631,4474976.502,107609676,34,77,Squirrel Hill South
588660.8517,4481258.932,107548848,35,18,Central Lawrenceville
588963.5811,4481293.112,104797952,35,18,Central Lawrenceville
588760.5738,4481286.848,105804400,35,18,Central Lawrenceville
588851.1658,4481289.7,1252104865,35,18,Central Lawrenceville
588188.2118,4481679.076,106032641,35,18,Central Lawrenceville
589649.1577,4482306.78,104464490,35,79,Stanton Heights
589850.6097,4482110.03,104595608,35,79,Stanton Heights
589908.5682,4482082.284,104595617,35,79,Stanton Heights
590056.5203,4482000.766,104595623,35,79,Stanton Heights
590122.4226,4481966.045,104595628,35,79,Stanton Heights
590198.1698,4481929.012,104595635,35,79,Stanton Heights
589862.8661,4481407.363,105120476,35,79,Stanton Heights
590043.257,4481533.662,105120484,35,79,Stanton Heights
589667.2472,4482073.436,104664176,35,79,Stanton Heights
590671.2935,4482482.9,106107544,35,79,Stanton Heights
589627.0415,4482295.546,105912457,35,79,Stanton Heights
589812.9923,4482336.389,105912473,35,79,Stanton Heights
590268.6629,4481471.145,104667297,35,79,Stanton Heights
590278.8353,4481306.827,104667308,35,79,Stanton Heights
590293.3134,4480974.034,104667331,35,79,Stanton Heights
590271.5965,4480851.452,104667343,35,79,Stanton Heights
589950.9945,4481340.024,105783177,35,79,Stanton Heights
590035.0211,4481726.991,105783197,35,79,Stanton Heights
589872.4804,4482007.689,107487492,35,79,Stanton Heights
590333.1711,4481906.095,874193752,35,79,Stanton Heights
590598.4106,4482434.179,104539640,35,79,Stanton Heights
590642.0843,4482372.382,104539655,35,79,Stanton Heights
589820.6712,4481912.99,104605389,35,79,Stanton Heights
589967.7899,4481833.992,104605413,35,79,Stanton Heights
590038.5338,4481812.64,104605422,35,79,Stanton Heights
590122.9592,4481787.845,104605434,35,79,Stanton Heights
589284.4057,4481501.485,104605452,35,79,Stanton Heights
589368.7816,4481593.706,104605457,35,79,Stanton Heights
589464.2144,4481702.545,104605480,35,79,Stanton Heights
589523.9833,4481770.859,104605492,35,79,Stanton Heights
590340.3101,4480772.992,104674756,35,79,Stanton Heights
590493.6564,4482372.76,104544198,35,79,Stanton Heights
590373.9211,4482407.549,104544213,35,79,Stanton Heights
590089.7922,4481360.279,105723869,35,79,Stanton Heights
589345.8267,4481442.402,106053302,35,79,Stanton Heights
589497.0393,4481800.923,104808507,35,79,Stanton Heights
589580.0802,4481706.841,104808524,35,79,Stanton Heights
589396.821,4481920.257,104808547,35,79,Stanton Heights
589417.664,4481896.304,104808554,35,79,Stanton Heights
590019.7722,4481066.78,105073292,35,79,Stanton Heights
590057.0446,4481332.696,105073331,35,79,Stanton Heights
