FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
9893, ,40.4307626,-79.9759676,105709522, ,0,0,South Side Flats
9894, ,40.4750082,-79.9594548,105709538, ,0,0,Central Lawrenceville
9895, ,40.446507,-80.037625,105709694, ,0,0,Elliott
9896, ,40.3999785,-80.0180924,105709722, ,0,0,Brookline
9897, ,40.3996058,-80.0176755,105709742, ,0,0,Brookline
9898, ,40.4847513,-79.9851226,105709789, ,1,0,
9899, ,40.4845912,-79.98593,105709797, ,1,0,
9900, ,40.484282,-79.9868441,105709801, ,1,0,
9901, ,40.3986739,-80.0023804,105709814, ,0,0,Brookline
9902,traffic_signals,40.3560077,-79.8981817,105709824, ,1,0,
9903, ,40.4505518,-79.9651801,105710056, ,0,0,Middle Hill
9904,traffic_signals,40.4543564,-79.9777606,105710593, ,0,0,Strip District
9905, ,40.4336515,-80.0194932,105711040, ,0,0,Duquesne Heights
9906, ,40.433729,-80.0200276,105711051, ,0,0,Duquesne Heights
9907, ,40.433828,-80.020554,105711061, ,0,0,Duquesne Heights
9908, ,40.4339083,-80.0211312,105711081, ,0,0,Duquesne Heights
9909, ,40.4307711,-80.0074091,105711161, ,0,0,Mount Washington
9910, ,40.4314998,-80.0087805,105711169, ,0,0,Mount Washington
9911, ,40.4328519,-80.0134505,105711184, ,0,0,Mount Washington
9912, ,40.4239245,-79.9007547,105711238, ,0,0,Swisshelm Park
9913, ,40.4238638,-79.899612,105711246, ,0,0,Swisshelm Park
9914, ,40.4248223,-79.8978226,105711255, ,0,0,Swisshelm Park
9915, ,40.4406388,-79.9844499,105711303, ,0,0,Crawford-Roberts
9916, ,40.4410637,-79.9834424,105711313, ,0,0,Crawford-Roberts
9917,traffic_signals,40.4431747,-79.9598798,105711560, ,0,0,North Oakland
9918, ,40.4435666,-79.9593487,105711567, ,0,0,North Oakland
9919, ,40.4450609,-79.9572727,105711578, ,0,0,North Oakland
9920, ,40.4506343,-79.9174446,105711746, ,0,0,Point Breeze
9921, ,40.4499358,-79.9165613,105711750, ,0,0,Point Breeze
9922,turning_circle,40.4510683,-79.9154027,105711757, ,0,0,Point Breeze
9923, ,40.3951386,-79.9687784,105711799, ,1,0,
9924, ,40.4684621,-80.0723468,105711944, ,1,0,
9925, ,40.469457,-80.074105,105711948, ,1,0,
9926, ,40.4703519,-80.0761064,105711956, ,1,0,
9927, ,40.4745614,-79.9820236,105711964, ,1,0,
9928, ,40.474957,-79.9808266,105711969, ,1,0,
9929, ,40.4433626,-79.9660599,105711998, ,0,0,West Oakland
9930, ,40.3971651,-80.0358578,105712171, ,1,0,
9931, ,40.3954353,-80.0383826,105712177, ,1,0,
9932, ,40.4369947,-80.0690698,105712316, ,1,0,
9933, ,40.4771495,-80.0340174,105712495, ,0,0,Brighton Heights
9934, ,40.4770398,-80.0346531,105712499, ,0,0,Brighton Heights
9935, ,40.3969691,-80.0098624,105712516, ,0,0,Brookline
9936, ,40.3963677,-80.0112309,105712522, ,0,0,Brookline
9937, ,40.3949686,-80.0133806,105712532, ,0,0,Brookline
9938, ,40.4598658,-79.9071557,105712587, ,0,0,Homewood West
9939, ,40.4515112,-80.0137156,105712927, ,0,0,Allegheny West
9940, ,40.4510499,-80.0162327,105712937, ,0,0,Allegheny West
9941, ,40.4506,-80.0186328,105712945, ,0,0,Chateau
9942, ,40.4504457,-80.0194842,105712953, ,0,0,Chateau
9943, ,40.4593285,-79.8830174,105712972, ,0,0,Homewood North
9944, ,40.462145,-79.8832113,105712995, ,1,0,
9945, ,40.3680268,-79.896446,105713360, ,1,0,
9946, ,40.4924554,-80.0001467,105713522, ,1,0,
9947, ,40.4631624,-79.8749383,105713640, ,1,0,
9948, ,40.46506,-79.8748285,105713647, ,1,0,
9949, ,40.395905,-79.9609274,105713695, ,1,0,
9950, ,40.3884834,-79.9065091,105713733, ,1,0,
9951, ,40.3882999,-79.9069395,105713739, ,1,0,
9952, ,40.3879204,-79.9078254,105713755, ,1,0,
9953,turning_circle,40.4504248,-79.9189209,105713879, ,0,0,Point Breeze
9954, ,40.4508791,-79.9184653,105713896, ,0,0,Point Breeze
9955, ,40.3673997,-79.999198,105713991, ,1,0,
9956, ,40.3916714,-79.9071197,105714091, ,1,0,
9957, ,40.389231,-79.9940255,105714179, ,0,0,Overbrook
9958, ,40.3899991,-79.9942187,105714188, ,0,0,Overbrook
9959, ,40.3914019,-79.994559,105714195, ,0,0,Overbrook
9960, ,40.3883587,-79.993811,105714201, ,0,0,Overbrook
9961,turning_circle,40.4496846,-79.9108142,105714214, ,0,0,Point Breeze
9962, ,40.3925343,-79.9140287,105715303, ,1,0,
9963, ,40.3944956,-79.9228355,105715333, ,0,0,New Homestead
9964, ,40.4451498,-80.0664758,105715398, ,1,0,
9965, ,40.4447241,-80.0668086,105715407, ,1,0,
9966, ,40.4832192,-79.9137271,105715443, ,0,0,Highland Park
9967, ,40.4787278,-79.9133699,105715465, ,0,0,Highland Park
9968, ,40.4870109,-80.0375137,105715529, ,0,0,Brighton Heights
9969, ,40.4877958,-80.0373342,105715534, ,0,0,Brighton Heights
9970, ,40.4883505,-80.0374467,105715542, ,0,0,Brighton Heights
9971, ,40.4870578,-80.0377841,105715556, ,0,0,Brighton Heights
9972, ,40.4856092,-80.0389182,105715565, ,0,0,Brighton Heights
9973, ,40.4849669,-80.0394318,105715569, ,0,0,Brighton Heights
9974, ,40.4673582,-79.9185116,105715843, ,0,0,East Liberty
9975, ,40.4488252,-79.9720931,105715861, ,0,0,Middle Hill
