name,lat,lon,label,component
1025864037,40.4237509,-79.9689435,,1
1025864038,40.4237244,-79.9690293,,1
1025864039,40.4237142,-79.9696623,,1
1025864040,40.4237224,-79.9698528,,1
104192770,40.4236376,-79.9699578,,1
104192780,40.4203965,-79.8894601,,1
104192787,40.4211563,-79.8873413,,1
104192806,40.4197405,-79.8886966,,1
104192815,40.4197863,-79.8885676,,1
104192824,40.4202636,-79.8872252,,1
104192866,40.4194491,-79.8883239,,1
2610441099,40.4194727,-79.8883884,,1
104192887,40.4192387,-79.8881844,,1
2610441097,40.4192004,-79.8881912,,1
104192895,40.4188979,-79.8880034,,1
104192903,40.4193217,-79.8868009,,1
4015454913,40.4413705,-80.0724702,,1
4015454908,40.4413402,-80.0725811,,1
4015454904,40.4412933,-80.0726911,,1
4015454902,40.4412443,-80.072782,,1
2781581765,40.4411043,-80.072982,,1
104193152,40.4410624,-80.0731625,,1
104193270,40.4069715,-80.0422727,,1
1808817259,40.4073912,-80.0417036,,1
104193279,40.4076568,-80.0414037,,1
1808817283,40.4078569,-80.0413495,,1
1808817225,40.4081867,-80.0414973,,1
1808817275,40.4086173,-80.041783,,1
104193286,40.4090221,-80.0420525,,1
1808817315,40.409152,-80.042266,,1
104193293,40.4092196,-80.0426206,,1
1808817218,40.409221,-80.0431707,,1
104193301,40.4092218,-80.0434811,,1
104193457,40.4729724,-80.0313225,,1
104193463,40.4729505,-80.0318682,,1
2537572353,40.4727507,-80.031868,,1
2537572352,40.4727067,-80.0317727,,1
104193472,40.4726616,-80.0317462,,1
2537572351,40.4725776,-80.0317016,,1
2537572350,40.472467,-80.0316922,,1
2537572349,40.472378,-80.0316922,,1
104193482,40.4722568,-80.0316874,,1
104193498,40.4727595,-80.0312552,,1
104193516,40.4713727,-80.0337275,,1
1252581966,40.4714492,-80.0337572,,1
5798952458,40.4714796,-80.0337924,,1
5798952457,40.4714888,-80.0338313,,1
1252582543,40.4714879,-80.0338787,,1
5798952456,40.4715031,-80.0339735,,1
1252582121,40.471531,-80.0340482,,1
3867426583,40.4715574,-80.0341479,,1
1252582316,40.4716085,-80.0343175,,1
3867426593,40.4716987,-80.0343732,,1
1252582401,40.4717686,-80.0344164,,1
3867426615,40.471861,-80.0344705,,1
104193527,40.4718937,-80.0344896,,1
104193537,40.4700202,-80.033747,,1
104193549,40.4699904,-80.0345783,,1
104193972,40.4892956,-80.0018402,,1
3802851286,40.4893103,-80.0018209,,1
3802851287,40.4893333,-80.0018112,,1
104193976,40.4903576,-80.0017544,,1
104194082,40.4335031,-79.8913295,,1
104194090,40.4329464,-79.8909207,,1
104194105,40.4324369,-79.8905592,,1
104194115,40.4318234,-79.8913734,,1
104194122,40.43239,-79.8917991,,1
104194129,40.4330975,-79.8923155,,1
104194691,40.4556792,-80.0573983,,1
2993482350,40.4559023,-80.0578499,,1
104194698,40.456115,-80.058307,,1
104194704,40.456256,-80.058627,,1
104195409,40.3838563,-79.9085057,,1
104195415,40.3834055,-79.9077205,,1
104195540,40.3810447,-79.9011525,,1
