Source,Target,Type,Id,Label,timeset,Weight,junction,access,service,tunnel,maxspeed,bridge,ref,osmid,oneway,name,distance,lanes,highway,geometry,bridge-size
16,15,Undirected,2208,,,10,,,,,,yes,,"[54684071, 54684069, 54684070, 54684079]",TRUE,,177.88,,primary_link,"LINESTRING (590538.2941899614 4471905.103159053, 590462.4664852099 4471887.624785803, 590446.7826661904 4471885.293075973, 590437.5533509052 4471886.203180896, 590426.5700429027 4471890.37826113, 590418.079801362 4471896.170943808, 590413.6721932816 4471902.690035863, 590410.167421187 4471910.363484627, 590406.6353707577 4471920.301353173, 590403.8973681481 4471930.559638515, 590399.5996555621 4471945.572863542)",10
2,85,Undirected,2219,PA 885,,10,,,,,,yes,PA 885,"[54685354, 54685356]",TRUE,,173.764,,primary,"LINESTRING (590416.2836189617 4471724.017452554, 590422.0282035889 4471700.950739554, 590433.6506500684 4471662.079442522, 590459.9673298961 4471575.303843927, 590465.2065605903 4471557.559884641)",10
2,19,Undirected,2222,PA 885,,10,,,,,,yes,PA 885,"[54688680, 54684092]",TRUE,,199.019,,primary,"LINESTRING (590527.1981586011 4471607.643463583, 590525.5717546234 4471629.172242573, 590522.879289236 4471644.782056521, 590519.3141703949 4471657.439393412, 590513.9242805571 4471670.07471967, 590506.7071374495 4471683.59834848, 590496.7376348116 4471697.999127319, 590445.5536504952 4471759.096331213, 590432.4884189343 4471776.823689933)",10
17,16,Undirected,2228,,,10,,,,,,yes,,54684078,TRUE,,30.563,,primary_link,"LINESTRING (590568.1501874919 4471911.924685746, 590538.2941899614 4471905.103159053)",10
17,2,Undirected,2229,PA 837,,10,,,,,,yes,PA 837,"[54684074, 54684085]",TRUE,,202.233,,primary_link,"LINESTRING (590568.1501874919 4471911.924685746, 590551.5078226752 4471913.766527475, 590538.1437692665 4471917.568559923, 590523.2412400721 4471926.469940123, 590501.0660937029 4471943.66540909, 590456.7185934408 4471977.146230195, 590413.9752006583 4472009.969430649, 590400.1994243071 4472019.783863341)",10
2,17,Undirected,2231,PA 837,,10,,,,,,yes,PA 837,"[54684082, 54684083, 376319165]",TRUE,,239.505,,primary,"LINESTRING (590777.4158672028 4472022.528878778, 590748.9125201757 4472007.085725632, 590725.3002845093 4471992.179201415, 590660.9831316089 4471943.153693052, 590646.5328798594 4471934.985864704, 590620.3701420506 4471923.890062715, 590596.5430533802 4471917.596291279, 590568.1501874919 4471911.924685746)",10
2,19,Undirected,2238,PA 837,,10,,,,,,yes,PA 837,"[54684088, 66891902, 54684086]",TRUE,,255.52,,primary_link,"LINESTRING (590470.0703976192 4471927.183023887, 590493.4364564444 4471896.40224052, 590502.0554273021 4471879.942456479, 590509.3683118483 4471859.170566756, 590513.509341718 4471836.761774058, 590513.785588515 4471813.862292084, 590511.5143179775 4471794.562336535, 590508.2666123931 4471780.91247253, 590502.730334704 4471767.690175766, 590496.2174884945 4471760.129075132, 590484.9016684777 4471754.552771372, 590475.5766546609 4471753.52998411, 590464.4134159118 4471754.305724347, 590455.4919810639 4471757.828423172, 590447.1160527362 4471763.278302118, 590432.4884189343 4471776.823689933)",10
18,39,Undirected,2247,I 279,,10,,,,,,yes,I 279,"[24957000, 24956997]",TRUE,,196.756,2,motorway,"LINESTRING (584040.6934921576 4477480.545931933, 584044.7742114973 4477455.513344887, 584048.9069500936 4477429.626525592, 584052.6891119435 4477392.656438987, 584053.6473167746 4477364.713518703, 584052.4038306494 4477342.496488248, 584050.7575926644 4477318.376576516, 584046.3187578082 4477285.366303699)",10
18,43,Undirected,2248,,,10,,,,,,yes,,24957102,TRUE,,40.814,2,motorway_link,"LINESTRING (584040.6934921576 4477480.545931933, 584047.4781095318 4477459.451429007, 584054.355725687 4477442.165803663)",10
2,85,Undirected,2261,,,10,,,,,,yes,,"[54685357, 54685358]",TRUE,,193.809,,primary_link,"LINESTRING (590435.792157268 4471748.509769166, 590435.6971137746 4471738.084128451, 590436.3355790495 4471722.438428705, 590439.0770770198 4471702.743753754, 590448.9110551837 4471642.53566209, 590456.702045647 4471601.120332659, 590461.669563507 4471575.635212637, 590465.2065605903 4471557.559884641)",10
19,2,Undirected,2265,PA 837,,10,,,,,,yes,PA 837,"[54684080, 54684081, 66891896, 54684093]",TRUE,,453.722,,primary,"LINESTRING (590421.0738727772 4471798.456557054, 590418.1199395542 4471817.471475599, 590419.2977672345 4471833.139065729, 590422.1228835433 4471843.830743411, 590427.4766420608 4471853.187388392, 590434.8866245762 4471861.669583532, 590442.7876768404 4471867.43778918, 590451.0227157357 4471873.665199616, 590463.592808631 4471878.690393622, 590567.8980615576 4471902.574004753, 590605.7305202315 4471911.012903649, 590632.8411304072 4471918.833996181, 590655.8228279741 4471929.758184484, 590674.9217524772 4471941.679080414, 590730.7296775538 4471986.116710149, 590755.3191401527 4472004.443298977, 590777.4158672028 4472022.528878778)",10
19,15,Undirected,2266,Glenwood Bridge,,10,,,,,,yes,PA 885,"[54684107, 54684109, 54684094]",TRUE,Glenwood Bridge,149.263,,primary,"LINESTRING (590421.0738727772 4471798.456557054, 590415.2931831644 4471816.071902755, 590412.3730494409 4471831.579093761, 590407.642660794 4471874.041603521, 590404.1343423574 4471905.961125365, 590401.51438742 4471928.965586016, 590399.5996555621 4471945.572863542)",10
0,0,Undirected,2286,California Avenue,,10,,,,,30 mph,yes,,"[54362033, 54362036, 54362119]",FALSE,California Avenue,281.716,2,tertiary,"LINESTRING (581705.5343971951 4480444.534227418, 581696.0040986607 4480463.2361103, 581594.6377639528 4480629.640565623, 581584.3700818967 4480645.25942583, 581572.7745920535 4480662.917600357, 581558.5670656742 4480684.543858454)",10
