Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
2847670441,2847670441,,,,4475324.026778,587980.381195,POINT (587980.3811950339 4475324.026778141),2847670441,-79.9628658,40.4238996,3,3,60,0.031682,0.036288,0.002822,42,0.000059,2,0,0.333333,1,0.21485
104661162,104661162,,,,4484388.768645,590899.01644,POINT (590899.0164397345 4484388.768645225),104661162,-79.9271674,40.5052365,3,3,87,0.021576,0.024823,0.005733,27,0.000077,5,0,0,0,0.139825
104857771,104857771,,,,4476312.36004,580527.552565,POINT (580527.5525650809 4476312.360039608),104857771,-80.0505844,40.4335571,3,3,72,0.027253,0.032534,0.003061,33,0.000059,2,0,0,0,0.2686
104595628,104595628,,,,4481966.045378,590122.4226,POINT (590122.4226001196 4481966.045378361),104595628,-79.9366762,40.4834986,4,4,85,0.022687,0.026735,0.000748,35,0.000079,1,0,0,0,0.348614
104923312,104923312,,,,4470839.350101,581561.101479,POINT (581561.1014792114 4470839.350101233),104923312,-80.039102,40.3841561,3,3,84,0.021355,0.025174,0.006177,25,0.000058,2,0,0,0,0.234591
104595635,104595635,,,,4481929.012328,590198.16976,POINT (590198.1697596952 4481929.012328462),104595635,-79.9357879,40.4831568,4,4,86,0.022368,0.026478,0.000418,35,0.000082,1,0,0,0,0.314875
104661181,104661181,,,,4484666.155641,590995.193831,POINT (590995.1938305628 4484666.155641001),104661181,-79.9259926,40.5077245,1,1,88,0.021121,0.023908,0,27,0.000031,5,0,0,0,0.049301
105054409,105054409,,,,4478419.721617,594507.792922,POINT (594507.7929216835 4478419.721617482),105054409,-79.885472,40.451068,1,1,79,0.021511,0.024768,0,1,0.000029,1,0,0,0,0.047528
105709789,105709789,,,,4482056.74567,586014.659864,POINT (586014.6598637864 4482056.74566962),105709789,-79.9851226,40.4847513,3,3,76,0.026048,0.029862,0.001644,40,0.000081,0,0,0,0,0.128613
105185506,105185506,,,,4483949.203653,593996.990441,POINT (593996.9904407726 4483949.203653192),105185506,-79.8906753,40.500932,1,1,87,0.020859,0.023297,0,18,0.000032,4,0,0,0,0.041074
105709797,105709797,,,,4482038.187466,585946.432784,POINT (585946.432784436 4482038.187466065),105709797,-79.98593,40.4845912,4,4,77,0.025387,0.028819,0.000364,40,0.000121,0,0,0,0,0.10395
105251048,105251048,,,,4475763.448551,589142.968658,POINT (589142.9686584044 4475763.448550632),105251048,-79.9491015,40.427734,3,3,60,0.030273,0.033689,0.000566,26,0.00007,1,0,0,0,0.180097
105709801,105709801,,,,4482002.975609,585869.351991,POINT (585869.3519911297 4482002.975608812),105709801,-79.9868441,40.484282,1,1,78,0.024758,0.027752,0,40,0.000035,0,0,0,0,0.042533
675610868,675610868,,,,4484584.943707,582184.558664,POINT (582184.5586644724 4484584.943707189),675610868,-80.0299793,40.5079126,3,3,65,0.032677,0.037873,0.000574,36,0.00006,0,0,0.666667,2,0.216395
105709814,105709814,,,,4472485.352479,584659.900126,POINT (584659.9001263229 4472485.352478945),105709814,-80.0023804,40.3986739,3,3,68,0.028955,0.033328,0.000007,59,0.000066,2,0,0,0,0.169856
105709824,105709824,,,traffic_signals,4467854.378329,593561.57587,POINT (593561.5758699973 4467854.378329113),105709824,-79.8981817,40.3560077,3,12,88,0.017573,0.02043,0.010806,15,0.00007,2,0,0,0,0.153338
105709829,105709829,,,,4467926.321208,593707.039278,POINT (593707.0392778699 4467926.321207554),105709829,-79.8964584,40.3566394,3,3,89,0.017288,0.019989,0.00214,15,0.000077,2,0,0,0,0.124489
104595726,104595726,,,,4478220.009066,596529.630128,POINT (596529.6301283358 4478220.009065729),104595726,-79.8616633,40.4490368,3,3,70,0.025178,0.028618,0.00027,46,0.00007,1,0,0,0,0.155614
3627548944,3627548944,,,,4479387.112912,582753.070915,POINT (582753.0709147858 4479387.112911657),3627548944,-80.0239486,40.4610354,1,1,74,0.028152,0.031936,0,6,0.000034,0,0,0,0,0.033242
3627548945,3627548945,,,,4479401.01253,582801.301296,POINT (582801.3012959586 4479401.012529568),3627548945,-80.023378,40.4611558,3,3,73,0.028967,0.033304,0.000243,6,0.00009,0,0,0,0,0.08086
105709840,105709840,,,,4468022.744217,593858.546826,POINT (593858.5468257869 4468022.744216738),105709840,-79.8946603,40.3574909,3,3,90,0.017015,0.019645,0.001955,15,0.000076,2,0,0,0,0.146354
107479318,107479318,,,,4476292.828055,579668.341778,POINT (579668.3417781637 4476292.828054867),107479318,-80.0607156,40.4334639,1,1,81,0.022362,0.02589,0,33,0.000027,2,0,0,0,0.083748
675610902,675610902,,,,4484566.51774,582256.439745,POINT (582256.4397453248 4484566.517739887),675610902,-80.0291334,40.5077395,1,1,70,0.028229,0.031658,0,36,0.00003,0,0,0,0,0.057436
104595742,104595742,,,,4478292.959681,596570.867647,POINT (596570.8676471267 4478292.959680654),104595742,-79.861166,40.4496891,1,1,71,0.02456,0.027519,0,46,0.000029,1,0,0,0,0.052492
104988973,104988973,,,,4476091.258381,580264.143292,POINT (580264.143291604 4476091.258381482),104988973,-80.0537175,40.4315909,1,1,78,0.02379,0.027021,0,33,0.000029,2,0,0,0,0.048275
104923444,104923444,,,,4471279.03232,591105.981601,POINT (591105.9816014799 4471279.032320464),104923444,-79.9266055,40.3871276,1,1,71,0.024523,0.027745,0,12,0.000036,2,0,0,0,0.031928
104988985,104988985,,,,4476110.320503,580232.110415,POINT (580232.1104146044 4476110.320502773),104988985,-80.0540927,40.4317657,3,3,77,0.02437,0.028107,0.000137,33,0.000069,2,0,0,0,0.142359
104989001,104989001,,,,4476179.189554,580105.17074,POINT (580105.170739784 4476179.189554186),104989001,-80.0555804,40.4323983,3,3,76,0.024705,0.028585,0.000186,33,0.000064,2,0,0,0,0.165939
104857931,104857931,,,,4478180.392084,580059.558961,POINT (580059.55896073 4478180.392083775),104857931,-80.0558659,40.4504293,1,1,76,0.024598,0.027632,0,3,0.000029,2,0,0,0,0.049905
105709901,105709901,,,,4468654.073491,595157.589746,POINT (595157.5897455879 4468654.073490537),105709901,-79.8792705,40.3630304,2,2,91,0.016797,0.019261,0.000477,15,0.000053,2,0,0,0,0.071523
104857942,104857942,,,,4478152.741145,580035.921772,POINT (580035.9217715869 4478152.741144995),104857942,-80.0561481,40.4501825,3,3,76,0.0247,0.028223,0.000345,3,0.000066,2,0,0,0,0.22199
104792407,104792407,,,,4478302.198783,587549.451752,POINT (587549.4517518564 4478302.198782789),104792407,-79.9675346,40.4507714,1,1,69,0.028582,0.032337,0,8,0.000029,1,0,0,0,0.051519
104857948,104857948,,,,4478058.969132,579810.356675,POINT (579810.3566753373 4478058.9691325),104857948,-80.0588196,40.4493595,4,4,76,0.024765,0.028661,0.000364,3,0.000078,2,0,0,0,0.353301
104792414,104792414,,,,4478342.784047,587609.030543,POINT (587609.0305431933 4478342.784046838),104792414,-79.9668265,40.4511307,3,3,67,0.030119,0.034574,0.000276,8,0.000067,1,0,0,0,0.160552
104530275,104530275,,,traffic_signals,4479232.171279,590811.314103,POINT (590811.3141032859 4479232.171278707),104530275,-79.9289409,40.4587982,3,3,74,0.026644,0.032174,0.01597,50,0.000056,1,0,0,0,0.277343
104726883,104726883,,,,4478153.659258,596433.69407,POINT (596433.6940704697 4478153.659258028),104726883,-79.8628045,40.4484503,3,3,72,0.024393,0.028134,0.000737,46,0.000062,1,0,0,0,0.206304
