index,step_id,edge_id,bundle_id,times_edge_crossed,times_bundle_crossed
156,8,248011,,1,
157,8,248010,,1,
158,8,248009,,1,
159,8,248008,,1,
160,8,248007,,1,
161,8,248006,,1,
162,8,248005,,1,
163,8,248004,,1,
164,8,248003,,1,
165,8,248002,,1,
166,8,248001,,1,
167,8,248000,,1,
168,8,273419,,1,
169,8,200116,,1,
170,8,208083,,1,
171,8,170060,,1,
172,8,208913,,1,
173,8,208912,,1,
174,8,208911,,1,
175,8,208910,,1,
176,8,208909,,1,
177,8,208908,,1,
178,8,208907,,1,
179,8,208906,,1,
180,8,208905,,1,
181,8,208904,,1,
182,8,208903,,1,
183,8,208902,,1,
184,8,208901,,1,
185,8,208900,,1,
186,8,208899,,1,
187,8,208898,,1,
188,8,208897,,1,
189,8,208896,,1,
190,8,208895,,1,
191,8,208894,,1,
192,8,208893,,1,
193,8,208892,,1,
194,8,208891,,1,
195,9,157385,1,1,1
196,10,272079,,1,
197,10,237308,,1,
198,10,237307,,1,
199,11,272080,178,1,1
200,12,272082,,1,
201,12,272081,,1,
202,12,23759,,1,
203,12,23760,,1,
204,12,23761,,1,
205,12,23762,,1,
206,12,23763,,1,
207,12,23764,,1,
208,12,23765,,1,
209,12,23766,,1,
210,12,23767,,1,
211,12,23768,,1,
212,12,23769,,1,
213,12,51013,,1,
214,13,125169,159,1,1
215,14,125167,,1,
216,14,125168,,1,
217,14,237316,,1,
218,14,237315,,1,
219,14,237314,,1,
220,14,237313,,1,
221,14,237312,,1,
222,14,237311,,1,
223,14,237310,,1,
224,14,237309,,1,
225,14,237319,,1,
226,14,237318,,1,
227,14,237317,,1,
228,14,142789,,1,
229,14,90952,,1,
230,14,90953,,1,
231,14,90954,,1,
232,14,90955,,1,
233,14,90956,,1,
234,14,90957,,1,
235,14,142759,,1,
236,14,142760,,1,
237,14,142761,,1,
238,14,90199,,1,
239,14,90200,,1,
240,14,90201,,1,
241,14,137552,,1,
242,14,137553,,1,
243,14,137548,,1,
244,14,137549,,1,
245,14,137550,,1,
246,14,137551,,1,
247,15,90202,49,1,1
248,16,90203,,1,
249,16,90204,,1,
250,16,90205,,1,
251,16,90206,,1,
252,16,90207,,1,
253,16,90208,,1,
254,16,101642,,1,
255,16,101643,,1,
256,16,101644,,1,
257,16,101645,,1,
258,16,91369,,1,
259,16,91370,,1,
260,16,91371,,1,
261,16,91372,,1,
262,16,91373,,1,
263,16,91374,,1,
264,16,91375,,1,
265,16,91376,,1,
266,16,91377,,1,
267,16,91378,,1,
268,16,91379,,1,
269,16,91380,,1,
270,16,91381,,1,
271,16,91382,,1,
272,16,91383,,1,
273,16,145033,,1,
274,16,145034,,1,
275,16,145035,,1,
276,16,145036,,1,
277,16,145037,,1,
278,16,130491,,1,
279,16,130492,,1,
280,16,130493,,1,
281,16,130494,,1,
282,16,145049,,1,
283,16,145050,,1,
