id,osm_node_i,lat,lon,modularity,wprdc_hood,hood_no
13244,5010208492,40.4796995,-80.0117735,4,Perry North,61
13691,105720902,40.4553119,-80.0107872,4,Central Northside,19
13692,105720892,40.4557016,-80.0088149,4,Central Northside,19
13693,105720873,40.4559026,-80.0078052,4,Central Northside,19
13844,105728890,40.4641273,-80.0112835,4,Perry South,62
13845,105728884,40.4636986,-80.0122925,4,Perry South,62
13846,5010208100,40.4843705,-80.0145944,4,Perry North,61
13847,5010208087,40.4850642,-80.0156353,4,Perry North,61
13853,105729183,40.4670277,-80.0100408,4,Perry South,62
13854,4394848928,40.4622645,-80.0133402,4,Perry South,62
13855,105729355,40.4610267,-80.0137154,4,Perry South,62
13856,105729319,40.4612158,-80.0087438,4,Central Northside,19
14107,105739874,40.4775478,-80.0093617,4,Perry North,61
14108,105739878,40.4775577,-80.0089965,4,Perry North,61
14439,656071237,40.4556414,-80.0057041,4,Central Northside,19
14457,105729186,40.4675825,-80.0098849,4,Perry South,62
14458,105760588,40.467959,-80.007811,4,Perry South,62
14809,5010208496,40.4783422,-80.0111075,4,Perry North,61
14830,105791551,40.4633242,-80.0079965,4,Fineview,33
14831,105791558,40.4645123,-80.008382,4,Fineview,33
14901,105799277,40.462725,-80.0071571,4,Fineview,33
14902,105799290,40.4637241,-80.0074945,4,Fineview,33
14903,105799294,40.4646185,-80.0077934,4,Fineview,33
14904,104851878,40.4654615,-80.0080872,4,Fineview,33
14956,105005692,40.4818522,-80.0092988,4,Perry North,61
15111,105813724,40.4573182,-80.0093357,4,Central Northside,19
15112,105813707,40.4575014,-80.0083136,4,Central Northside,19
15216,105819715,40.4618417,-80.0099895,4,Perry South,62
15217,105819722,40.4617178,-80.010484,4,Perry South,62
15249,105823014,40.4620235,-80.0055562,4,Fineview,33
15250,105823027,40.4636242,-80.0060705,4,Fineview,33
15535,105840055,40.4689555,-80.0070586,4,Perry South,62
15536,104647828,40.4689723,-80.0065086,4,Perry South,62
15638,686152247,40.471363,-80.0070137,4,Perry South,62
15880,104613340,40.4724306,-80.0143725,4,Perry South,62
15881,105863588,40.4733888,-80.0144273,4,Perry South,62
15918,105864968,40.4637834,-80.0052425,4,Fineview,33
15919,105864978,40.4641092,-80.0054246,4,Fineview,33
15983,105871800,40.469069,-80.014276,4,Perry South,62
15984,105871778,40.4684866,-80.0138558,4,Perry South,62
15985,105871764,40.4670126,-80.0133731,4,Perry South,62
15986,105871741,40.4663925,-80.0131813,4,Perry South,62
15987,105871728,40.4647874,-80.0126659,4,Perry South,62
16215,3195258998,40.4758683,-80.0091314,4,Perry South,62
16268,105728973,40.4838101,-80.0130707,4,Perry North,61
16363,105902445,40.4588433,-80.0077807,4,Central Northside,19
16364,105902469,40.4584538,-80.0097142,4,Central Northside,19
16542,104911785,40.4641541,-80.0178724,4,Perry South,62
16543,104911773,40.4639631,-80.0178106,4,Perry South,62
16599,104791773,40.4766986,-80.0133793,4,Perry North,61
16632,3629376541,40.4612881,-80.0021627,4,Fineview,33
16762,105937315,40.4579799,-80.0159631,4,Central Northside,19
16763,105937331,40.4577615,-80.0171257,4,California-Kirkbride,15
16912,105945058,40.455736,-80.0152198,4,Central Northside,19
16913,105945068,40.455625,-80.0158331,4,Central Northside,19
16925,105945631,40.464263,-80.0198214,4,Perry South,62
16973,105951824,40.4606743,-80.0036865,4,Fineview,33
16974,105046848,40.4598672,-80.0032921,4,Fineview,33
16975,105951837,40.4602425,-80.0034101,4,Fineview,33
16976,105951843,40.4606983,-80.0035616,4,Fineview,33
17046,105956098,40.4592345,-80.0056323,4,Fineview,33
17047,1252520721,40.4599759,-80.0064618,4,Fineview,33
17054,105956344,40.4639113,-80.0064791,4,Fineview,33
17055,104851884,40.4656528,-80.007087,4,Fineview,33
17063,105956578,40.4634577,-80.0065601,4,Fineview,33
17215,104501231,40.4613848,-80.0123227,4,Perry South,62
17379,5002328907,40.4747254,-80.0144595,4,Perry South,62
17380,104852415,40.4763239,-80.0158172,4,Perry South,62
17409,105720908,40.455205,-80.0112669,4,Central Northside,19
17531,105217178,40.4604233,-80.0024943,4,Fineview,33
18041,106021024,40.4618403,-80.0065128,4,Fineview,33
18043,106021056,40.4570339,-80.0048973,4,Central Northside,19
18044,106021069,40.4576761,-80.005115,4,Central Northside,19
18097,105115265,40.4751528,-80.0086771,4,Perry South,62
18098,105729289,40.4747398,-80.0109451,4,Perry South,62
18109,106025803,40.4602199,-80.0179826,4,Perry South,62
18216,105253507,40.4595209,-80.0177125,4,California-Kirkbride,15
18217,4072623001,40.4601884,-80.0179352,4,Perry South,62
