id,label,timeset,osm_node_id,lat,lon,osm_label,neighborhood,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,componentnumber,strongcompnum
11380,105169913,,105169913,40.402196000000004,-79.989375,,Carrick,2,1,3,2.0,1.0,3.0,8.0,0.22641509433962265,0.3084325396825397,11.166666666666664,0.0,0.0,89,0,12856
11381,105169926,,105169926,40.4022654,-79.9884792,,Carrick,3,1,4,3.0,1.0,4.0,7.0,0.2682926829268293,0.3569264069264069,50.83333333333333,0.0,0.0,89,0,12848
11382,105169948,,105169948,40.4029006,-79.9842359,,Carrick,2,2,4,2.0,2.0,4.0,6.0,0.3333333333333333,0.4616666666666667,74.0,0.0,0.0,89,0,12847
11383,105169957,,105169957,40.4031102,-79.9836539,,Carrick,1,2,3,1.0,2.0,3.0,5.0,0.4,0.5354166666666667,64.0,0.0,0.0,89,0,12846
11384,105169975,,105169975,40.4039015,-79.9815215,,Carrick,1,3,4,1.0,3.0,4.0,4.0,0.5,0.6805555555555557,48.0,0.0,0.0,89,0,12844
11385,105169986,,105169986,40.4043631,-79.980285,,Carrick,2,1,3,2.0,1.0,3.0,3.0,0.5,0.611111111111111,18.5,0.0,0.0,89,0,12843
11386,105170131,,105170131,40.4622028,-79.8712744,,,1,3,4,1.0,3.0,4.0,5.0,0.3902439024390244,0.4916666666666666,63.0,0.0,6.217011E-26,19,0,3724
11387,105170146,,105170146,40.4626802,-79.8707718,,,1,2,3,1.0,2.0,3.0,4.0,0.45,0.5462962962962963,39.0,2.17925E-26,0.0,19,0,3717
11388,105170171,,105170171,40.4628619,-79.8670918,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,19,0,3716
11389,105170197,,105170197,40.4611797,-79.8702508,,East Hills,0,5,5,0.0,5.0,5.0,2.0,0.8333333333333334,0.9,0.0,0.0,3.4557036E-25,19,0,24343
11390,105170215,,105170215,40.4619455,-79.8702888,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,5.5,1.4292534E-25,0.0,19,0,3723
11391,105170233,,105170233,40.4091697,-79.9909182,,Knoxville,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,5.0,0.0,0.0,52,0,20071
11392,105170262,,105170262,40.4084254,-79.9881117,,,2,2,4,2.0,2.0,4.0,2.0,0.6666666666666666,0.75,8.5,0.0,0.0,52,0,20068
11393,105170274,,105170274,40.4080374,-79.9867384,,,3,1,4,3.0,1.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,52,0,1888
11394,684907770,,684907770,40.4533457,-79.9980516,,East Allegheny,1,2,3,1.0,2.0,3.0,6.0,0.3023255813953488,0.408974358974359,17.0,0.0,0.0,15,0,5362
11395,105170359,,105170359,40.4538973,-79.9982314,,East Allegheny,1,2,3,1.0,2.0,3.0,5.0,0.36666666666666664,0.4727272727272727,25.0,0.0,0.0,15,0,5360
11396,105170504,,105170504,40.4247242,-79.8949325,,,0,1,1,0.0,1.0,1.0,5.0,0.3333333333333333,0.4333333333333334,0.0,0.0,0.0,65,0,24344
11397,105170499,,105170499,40.4250833,-79.8949814,,,2,2,4,2.0,2.0,4.0,4.0,0.42857142857142855,0.5694444444444445,12.0,0.0,0.0,65,0,4761
11398,5322515086,,5322515086,40.4252581,-79.8950873,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,4760
11399,105170528,,105170528,40.3455732,-79.8662727,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,61,0,20509
11400,105046427,,105046427,40.407184,-79.8630688,,,1,2,3,1.0,2.0,3.0,3.0,0.5555555555555556,0.6666666666666667,15.0,0.0,0.0,29,0,13627
11401,105170620,,105170620,40.4068903,-79.8637338,,,2,1,3,2.0,1.0,3.0,4.0,0.4,0.5208333333333333,30.0,0.0,0.0,29,0,13060
11402,105171136,,105171136,40.449757,-79.8033953,,,0,3,3,0.0,3.0,3.0,6.0,0.2972972972972973,0.4636363636363636,0.0,0.0,0.0,28,0,24345
11403,105171160,,105171160,40.4514956,-79.802728,,,2,1,3,2.0,1.0,3.0,5.0,0.32142857142857145,0.40185185185185185,44.0,0.0,0.0,28,0,14155
11404,105171173,,105171173,40.4536726,-79.8030869,,,1,2,3,1.0,2.0,3.0,4.0,0.42105263157894735,0.53125,47.0,0.0,0.0,28,0,14154
11405,105171204,,105171204,40.4565587,-79.8084309,,,1,2,3,1.0,2.0,3.0,3.0,0.5384615384615384,0.619047619047619,42.0,0.0,0.0,28,0,14153
11406,105171228,,105171228,40.4561593,-79.8111032,,,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,24.0,0.0,0.0,28,0,14150
11407,105171289,,105171289,40.4183213,-79.847867,,,0,3,3,0.0,3.0,3.0,3.0,0.5833333333333334,0.6904761904761906,0.0,0.0,0.0,25,0,24348
