source,target,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
905,906,208,11686600,,,,Cedar Street,,153.4269978,FALSE
906,907,209,11686600,,,,Cedar Street,,111.0593646,FALSE
907,908,210,11686600,,,,Cedar Street,,57.34641643,FALSE
911,912,211,11686609,,,,Cedar Avenue,,61.69611589,TRUE
917,920,212,11686648,,,,Springmeadow Court,,43.93293623,FALSE
919,920,213,11686648,,,,Springmeadow Court,,23.0879939,FALSE
925,926,214,11686661,,,,Rebeca Street,,140.4312659,FALSE
927,928,215,11686663,,,,Opal Drive,,118.569082,FALSE
935,936,216,11686679,,,,Ocenas Avenue,,145.4290875,FALSE
929,939,217,11686689,,,,Ruxton Street,,35.66755067,TRUE
938,939,218,11686689,,,,Ruxton Street,,71.89548871,TRUE
929,940,219,11686689,,,,Ruxton Street,,38.194448,TRUE
930,940,220,318681941,,,,Estella Avenue,,53.98789467,TRUE
940,941,221,11686689,,,,Ruxton Street,,215.6242057,TRUE
942,943,222,11686719,,,,Indus Street,,129.874936,TRUE
945,946,223,11686725,,,,Jersey Street,,114.6361887,FALSE
950,951,224,11686730,,,,Vinceton Street,,170.3929826,TRUE
951,952,225,11686730,,,,Vinceton Street,,36.82378682,TRUE
952,953,226,11686730,,,,Vinceton Street,,7.136946617,TRUE
953,954,227,11686730,,,,Vinceton Street,,167.0287667,TRUE
957,958,228,11686735,,,,41st Street,,154.1331463,TRUE
960,961,229,11686737,,,,Glenhurst Road,,22.03805413,TRUE
966,967,230,11686769,,,,Carnegie Street,,157.5688964,TRUE
968,969,231,11686769,,,,Carnegie Street,,132.308162,TRUE
969,970,232,11686769,,,,Carnegie Street,,134.261741,TRUE
971,972,233,11686772,,,,Carnegie Street,,148.7859157,FALSE
972,973,234,11686772,,,,Carnegie Street,,117.4339887,FALSE
975,976,235,11686812,,,,Criss Street,,104.7974307,TRUE
976,977,236,11686812,,,,Criss Street,,75.52540684,TRUE
978,979,237,11686815,,,,Gilpin Way,,222.1538663,TRUE
982,983,238,11686828,,,,Ulysses Street,,125.7809926,TRUE
988,989,239,11686946,,,,Jillson Avenue,,49.28164641,TRUE
990,991,240,11686961,,,,South 22nd Street,,50.64710197,TRUE
991,992,241,11686961,,,,South 22nd Street,,50.68010691,TRUE
997,998,242,11686967,,,,Wilkins Avenue,,167.5307155,FALSE
998,999,243,11686967,,,,Wilkins Avenue,,221.3732019,FALSE
1001,1002,244,11686972,,,,Wilkins Avenue,,61.45724765,FALSE
1005,1006,245,11686980,,,,Wilkins Avenue,,43.05084721,FALSE
1010,1011,246,11687001,,,,Wilkins Avenue,,83.09653887,TRUE
1013,1014,247,11687001,,,,Wilkins Avenue,,212.4434979,TRUE
1020,1021,248,11687014,,,,Link Avenue,,95.24295061,FALSE
1024,1025,249,11687019,,,,Link Avenue,,31.27004858,FALSE
1019,1026,250,11687019,,,,Link Avenue,,253.3821068,FALSE
1027,1028,251,11687022,,,,Marchmont Street,,156.1107439,TRUE
1029,1030,252,11687026,,,,Ashland Avenue,,382.1786148,FALSE
595,1031,253,11840710,,,,Adelphia Street,,87.69425674,TRUE
596,1032,254,11745860,,,,Trinity Street,,88.62717291,TRUE
1038,1039,255,11687171,,,,Parkridge Lane,,44.40314289,FALSE
1039,1040,256,11687171,,,,Parkridge Lane,,96.50516006,FALSE
1039,1041,257,11687173,,,,Parkridge Lane,,63.32400446,FALSE
1045,1046,258,11687181,,,,Lenora Street,,168.9405661,TRUE
1051,1052,259,11687223,,,,Summer Place,,103.9871259,FALSE
1052,1053,260,11687223,,,,Summer Place,,129.3699834,FALSE
1061,1062,261,11687301,,,,Colonial Drive,,251.0874979,FALSE
1063,1064,262,11687358,,,,Hopkins Street,,92.19782418,FALSE
1064,1065,263,11687358,,,,Hopkins Street,,137.7488454,FALSE
1065,1066,264,11687358,,,,Hopkins Street,,105.4270379,FALSE
1067,1068,265,11687362,,,,Hopkins Street,,120.8880484,TRUE
1072,1073,266,11687370,,,,Almora Street,,57.84835973,TRUE
1073,1074,267,11691709,,,,Spencer Avenue,,32.86905323,TRUE
495,1080,268,11719349,,,,Gleditsch Alley,,131.6826626,FALSE
1079,1080,269,11687413,,,,Orange Street,,11.92076603,FALSE
1080,1081,270,11687413,,,,Orange Street,,48.9525784,FALSE
1031,1084,271,11840710,,,,Adelphia Street,,121.4680815,TRUE
1088,1089,272,11687429,,,,Lamont Avenue,,34.01054818,FALSE
1090,1091,273,11687459,,,,Green Oak Lane,,47.38690216,FALSE
1091,1092,274,11687459,,,,Green Oak Lane,,34.49214277,FALSE
1098,1099,275,11687479,,,,Realty Avenue,,125.2128484,TRUE
1104,1105,276,11687533,,,,Newport Drive,,48.61321341,FALSE
1107,1108,277,11687533,,,,Newport Drive,,130.7925244,FALSE
1108,1109,278,11687533,,,,Newport Drive,,64.05268516,FALSE
1109,1110,279,11687533,,,,Newport Drive,,75.78774622,FALSE
1110,1111,280,11687533,,,,Newport Drive,,72.80451255,FALSE
1112,1113,281,11687537,,,,Bellaire Place,,98.97382731,TRUE
1124,1125,282,11687648,,,,Taylor Street,,31.24397157,TRUE
1125,1126,283,11687654,,,,Taylor Street,,43.95365745,TRUE
1128,1129,284,11687657,,,,Taylor Street,,85.21009654,FALSE
1129,1130,285,11687657,,,,Taylor Street,,81.43992998,FALSE
1130,1131,286,11687657,,,,Taylor Street,,40.16612948,FALSE
1133,1134,287,11687659,,,,Taylor Street,,78.99428224,FALSE
1134,1135,288,11687659,,,,Taylor Street,,78.64693711,FALSE
1135,1136,289,11687659,,,,Taylor Street,,88.82897859,FALSE
1132,1137,290,448648816,,,,Lincoln Highway,,43.13427508,FALSE
1137,1138,291,11687660,,,,Taylor Street,,63.99319329,FALSE
1141,1142,292,11687669,,,,Blaw Avenue,,42.1014064,FALSE
1142,1143,293,11687669,,,,Blaw Avenue,,11.35774166,FALSE
1143,1144,294,11687669,,,,Blaw Avenue,,38.03213424,FALSE
1144,1145,295,11687669,,,,Blaw Avenue,,46.73038371,FALSE
1150,1151,296,11687688,,,,South Aiken Avenue,,13.90976443,TRUE
1152,1153,297,11687688,,,,South Aiken Avenue,,261.3989671,TRUE
1158,1159,298,11687724,,,,Parkview Avenue,,27.42696855,FALSE
1160,1161,299,11687724,,,,Parkview Avenue,,48.93754005,FALSE
