node_index,bridge_id,direction
92846,9233486,from
92846,9233486,to
92846,9233486,to
92857,9233486,to
92953,54349884,to
92954,54349886,to
93005,9248183,to
93007,54349886,from
93009,54349908,from
93010,54349884,from
93011,54349884,from
93011,54349884,to
93024,54349908,to
93049,9248183,from
93072,9233486,from
93072,9233486,to
93090,9233486,from
93090,9233486,to
93169,4246070,from
93169,9233486,to
93180,4246070,from
93180,4246070,to
93181,4246070,from
93181,4246070,to
93182,4246070,from
93182,4246070,to
93183,4246070,from
93183,4246070,to
93184,4246070,from
93184,4246070,to
93185,4246070,from
93185,4246070,to
93186,4246070,from
93186,4246070,to
93187,4246070,from
93187,4246070,to
93188,4246070,from
93188,4246070,to
93189,4246070,from
93189,4246070,to
93190,4246070,from
93190,4246070,to
93191,4246070,from
93191,4246070,to
93192,4246070,from
93192,4246070,to
93193,4246070,from
93193,4246070,to
93194,4246070,from
93194,4246070,to
93195,4246070,from
93195,4246070,to
93196,4246070,from
93196,4246070,to
93197,4246070,from
93197,4246070,to
93198,4246070,from
93198,4246070,to
93214,4246070,from
93214,4246070,to
93215,4246070,from
93215,4246070,to
93216,4246070,from
93216,4246070,to
93217,4246070,from
93217,4246070,to
93218,4246070,from
93218,4246070,to
93219,4246070,from
93219,4246070,to
93220,4246070,from
93220,4246070,to
93221,4246070,from
93221,4246070,to
93222,4246070,from
93222,4246070,to
93223,4246070,from
93223,4246070,to
93224,4246070,from
93224,4246070,to
93225,4246070,from
93225,4246070,to
93226,4246070,from
93226,4246070,to
93227,4246070,from
93227,4246070,to
93228,4246070,from
93228,4246070,to
93229,4246070,from
93229,4246070,to
93266,9053216,from
93266,9053216,from
93266,9053216,from
93266,9053216,to
93266,9053216,to
93266,9053216,to
93267,9053216,from
93267,9053216,to
93268,9053216,from
93268,9053216,to
93269,9053216,from
93269,9053216,to
93270,9053216,from
93270,9053216,to
93271,9053216,to
93272,54358135,from
93273,54358137,to
93365,9053092,from
93366,9053092,to
93367,54362033,from
93367,54362033,to
93368,54362033,from
93368,54362033,to
93376,9053092,from
93377,9053092,to
93403,54362079,from
93404,54362079,from
93404,54362079,to
93405,54362079,from
93405,54362079,to
93406,54362079,from
93406,54362079,to
93407,54362079,from
93407,54362079,to
93408,54362079,to
93409,54362088,to
93432,54362088,from
93432,54362088,to
93433,54362088,from
93433,54362088,to
93434,54362088,from
93434,54362088,to
93435,54362088,from
93435,54362088,to
93598,54363236,from
93598,54363236,to
93599,54363236,from
93599,54363236,to
93600,4559140,from
93600,4559140,from
93600,4559140,to
93600,4559140,to
93609,54363257,from
93609,54363257,to
93612,54363257,from
93612,54363257,to
93647,9053086,from
93647,9053086,from
93647,9053086,to
93647,9053086,to
93648,9053086,from
93648,9053086,from
93648,9053086,to
93648,9053086,to
93649,9053086,from
93649,9053086,to
93666,55189328,from
93666,55189328,to
94327,9232831,from
94337,9232831,to
94339,9232831,from
94339,9232831,to
94348,9232831,from
94349,9232831,from
94349,9232831,to
94350,9232831,to
94378,54455367,from
94378,54455367,to
94379,54455367,from
94379,54455367,from
94379,54455367,to
94379,54455367,to
94380,54455367,from
94380,54455367,from
94380,54455367,to
94380,54455367,to
94381,54455367,from
94381,54455367,to
94382,54455368,from
94382,54455368,to
94405,9232830,to
94424,9232830,from
94425,9232830,from
94425,9232830,to
94426,9232830,from
94426,9232830,to
94427,9232830,from
94427,9232830,to
94428,9232830,from
94428,9232830,to
94429,9232830,from
94429,9232830,to
94430,9232830,from
94430,9232830,to
94431,9232830,from
94431,9232830,to
94432,9232830,from
94432,9232830,from
94432,9232830,to
94432,9232830,to
94433,9232830,from
94433,9232830,from
94433,9232830,to
94433,9232830,to
94434,9232830,from
94434,9232830,from
94434,9232830,to
94434,9232830,to
94435,9232830,from
94435,9232830,from
94435,9232830,to
94435,9232830,to
94436,9232830,from
94436,9232830,from
94436,9232830,to
94436,9232830,to
94437,9232830,from
94437,9232830,from
94437,9232830,to
94437,9232830,to
94438,9232830,from
94438,9232830,from
94438,9232830,to
94438,9232830,to
94439,9232830,from
94439,9232830,to
94497,54455390,from
94497,54455390,to
94499,54455390,from
94499,54455390,to
94510,54455392,from
94510,54455392,to
94511,54455392,from
94511,54455392,to
94526,54455398,from
94526,54455398,to
94544,9232830,from
94607,9232830,from
94607,9232830,to
94608,9232830,from
94608,9232830,to
94609,9232830,from
94609,9232830,to
94610,9232830,from
94610,9232830,to
94611,9232830,from
94611,9232830,to
94612,9232830,from
94612,9232830,to
94613,9232830,to
94647,8900221,from
94648,8900221,to
94649,8900221,to
94661,8900221,from
94662,8900221,from
94662,8900221,to
94676,8900221,from
94676,8900221,to
95130,9219376,from
95130,9219376,to
95442,54490635,to
95453,54490635,from
95454,54490635,from
95454,54490635,to
95455,54490635,from
95455,54490635,to
95456,54490635,from
95456,54490635,to
95457,54490635,from
95457,54490635,to
95458,54490635,from
95458,54490635,to
95459,54490635,from
95459,54490635,to
95460,54490635,from
95460,54490635,to
95461,54490635,from
95461,54490635,to
95462,54490635,from
95462,54490635,to
95463,54490635,from
95463,54490635,to
95464,54490635,from
95464,54490635,to
95465,54490636,from
95466,54490636,to
95481,3903716,from
95481,3903716,to
95489,3903716,to
95510,3903716,from
95518,54490656,from
95519,54490656,from
95519,54490656,to
95520,54490656,from
95520,54490656,to
95521,54490656,from
95521,54490656,to
95522,54490656,to
95523,9248029,from
95523,9248029,to
95524,9248029,from
95524,9248029,to
95525,9248029,from
95525,9248029,to
95526,9248029,from
95526,9248029,to
95527,9248029,from
95527,9248029,to
95528,9248029,from
95528,9248029,to
95529,9248029,from
95529,9248029,to
95530,9248029,from
95530,9248029,to
95531,9248029,from
95531,9248029,to
95532,9248029,from
95532,9248029,to
95533,9248029,from
95533,9248029,to
95534,9248029,from
95534,9248029,to
95535,9248029,from
95535,9248029,to
95536,9248029,from
95536,9248029,to
95537,9248029,to
95591,9247952,from
95592,9247952,from
95592,9247952,to
95593,9247952,from
95593,9247952,to
95594,9247952,to
95663,9247952,to
95669,9247952,from
95670,9247952,from
95670,9247952,to
95671,9247952,from
95671,9247952,to
95694,9228920,to
